ID,Tipo,SKU,Nombre,"¿En inventario?",Inventario
20160,variation,8205051##42,"Borceguí Cuero Térmico Forrado De Invierno - 42",1,6
20161,variation,8205051##43,"Borceguí Cuero Térmico Forrado De Invierno - 43",1,8
20162,variation,8205051##44,"Borceguí Cuero Térmico Forrado De Invierno - 44",1,19
20163,variation,8205051##45,"Borceguí Cuero Térmico Forrado De Invierno - 45",1,8
20164,variable,8708815##,"Pouch Táctico Con Porta Celular",1,
20165,variation,8708815#01#,"Pouch Táctico Con Porta Celular - 01. Pitón Gris",0,1
20166,variation,8708815#03#,"Pouch Táctico Con Porta Celular - 03. Beige",1,80
20167,variation,8708815#04#,"Pouch Táctico Con Porta Celular - 04. Woodland",1,29
20168,variation,8708815#06#,"Pouch Táctico Con Porta Celular - 06. Verde",1,9
20169,variation,8708815#08#,"Pouch Táctico Con Porta Celular - 08. Multicam",1,3
20170,variation,8708815#09#,"Pouch Táctico Con Porta Celular - 09. Negro",1,13
20171,variation,8708815#10#,"Pouch Táctico Con Porta Celular - 10. Tri Desert",1,36
20172,variation,8708815#11#,"Pouch Táctico Con Porta Celular - 11. Digital Woodland",1,32
20173,simple,8520513##,"Mosquetón Metálico Gris Con Rosca",1,79
20177,simple,8708001##,"Plataforma de Polímero Para Sistema Molle",1,171
20183,variable,2103495##,"Remera táctica bajo chaleco de combate azul",1,
20184,variation,2103495##XXS,"Remera táctica bajo chaleco de combate azul - XXS",0,0
20189,variation,2103495##XS,"Remera táctica bajo chaleco de combate azul - XS",1,7
20190,variation,2103495##S,"Remera táctica bajo chaleco de combate azul - S",1,10
20191,variation,2103495##M,"Remera táctica bajo chaleco de combate azul - M",1,6
20192,variation,2103495##L,"Remera táctica bajo chaleco de combate azul - L",0,2
20193,variation,2103495##XL,"Remera táctica bajo chaleco de combate azul - XL",0,0
20194,variation,2103495##XXL,"Remera táctica bajo chaleco de combate azul - XXL",1,6
20195,simple,8520209##,"Navaja Suiza 17 funciones",1,15
20198,variable,8701576##,"Cinturón Táctico Cobra Con Hebilla Y Anclaje De Metal",1,
20199,variation,8701576#03#,"Cinturón Táctico Cobra Con Hebilla Y Anclaje De Metal - 03. Beige",0,0
20203,variation,8701576#09#,"Cinturón Táctico Cobra Con Hebilla Y Anclaje De Metal - 09. Negro",1,423
20207,variation,8701576#06#,"Cinturón Táctico Cobra Con Hebilla Y Anclaje De Metal - 06. Verde",0,0
20210,simple,8857005##,"Balde para limpieza con sistema de mopa giratoria",0,1
20217,simple,8505134##,"Pectoral Gimnasia Liceo Militar 2º Año",1,99
20220,simple,8505135##,"Pectoral Gimnasia Liceo Militar 3º Año",1,50
20223,simple,8505136##,"Pectoral Gimnasia Liceo Militar 4º Año",1,44
20226,simple,8505137##,"Pectoral Gimnasia Liceo Militar 5º Año",1,55
20229,simple,8505138##,"Pectoral Gimnasia Liceo Militar 6º Año",0,0
20232,variable,8708603##,"Mochila Tactica Nitro Camuflada 33 Litros",1,
20233,variation,8708603#03#,"Mochila Tactica Nitro Camuflada 33 Litros - 03. Beige",1,8
20237,variation,8708603#05#,"Mochila Tactica Nitro Camuflada 33 Litros - 05. Digital Desert",0,0
20239,variation,8708603#06#,"Mochila Tactica Nitro Camuflada 33 Litros - 06. Verde",1,6
20241,variation,8708603#07#,"Mochila Tactica Nitro Camuflada 33 Litros - 07. Acu",0,0
20243,variation,8708603#08#,"Mochila Tactica Nitro Camuflada 33 Litros - 08. Multicam",0,0
20245,variation,8708603#09#,"Mochila Tactica Nitro Camuflada 33 Litros - 09. Negro",1,8
20247,variation,8708603#10#,"Mochila Tactica Nitro Camuflada 33 Litros - 10. Tri Desert",0,0
20249,variation,8708603#11#,"Mochila Tactica Nitro Camuflada 33 Litros - 11. Digital Woodland",0,0
20251,variation,8708603#15#,"Mochila Tactica Nitro Camuflada 33 Litros - 15. Digital Tiger Woodland",0,1
20253,variation,8708603#16#,"Mochila Tactica Nitro Camuflada 33 Litros - 16. Digital Fuerza Aérea",0,1
20254,variation,8708603#17#,"Mochila Tactica Nitro Camuflada 33 Litros - 17. Digital Naval",1,4
20255,variable,8708607##,"Mochila Tactica Camuflada Flanker 30 Litros",1,
20256,variation,8708607#01#,"Mochila Tactica Camuflada Flanker 30 Litros - 01. Pitón Gris",1,14
20258,variation,8708607#03#,"Mochila Tactica Camuflada Flanker 30 Litros - 03. Beige",0,0
20263,variation,8708607#04#,"Mochila Tactica Camuflada Flanker 30 Litros - 04. Woodland",1,9
20265,variation,8708607#05#,"Mochila Tactica Camuflada Flanker 30 Litros - 05. Digital Desert",0,1
20267,variation,8708607#06#,"Mochila Tactica Camuflada Flanker 30 Litros - 06. Verde",0,1
20272,variation,8708607#07#,"Mochila Tactica Camuflada Flanker 30 Litros - 07. Acu",1,6
20277,variation,8708607#08#,"Mochila Tactica Camuflada Flanker 30 Litros - 08. Multicam",0,0
20282,variation,8708607#09#,"Mochila Tactica Camuflada Flanker 30 Litros - 09. Negro",0,0
20287,variation,8708607#10#,"Mochila Tactica Camuflada Flanker 30 Litros - 10. Tri Desert",0,1
20289,variation,8708607#11#,"Mochila Tactica Camuflada Flanker 30 Litros - 11. Digital Woodland",0,1
20291,variable,8708608##,"Mochila Tactica Camuflada 40 Litros Con Pouch",1,
20292,variation,8708608#01#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 01. Pitón Gris",1,12
20297,variation,8708608#02#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 02. Pitón Beige",1,4
20298,variation,8708608#03#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 03. Beige",1,28
20300,variation,8708608#04#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 04. Woodland",1,18
20303,variation,8708608#05#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 05. Digital Desert",0,2
20305,variation,8708608#06#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 06. Verde",0,1
20307,variation,8708608#07#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 07. Acu",1,5
20312,variation,8708608#08#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 08. Multicam",0,0
20314,variation,8708608#09#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 09. Negro",0,0
20315,variation,8708608#10#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 10. Tri Desert",1,16
20316,variation,8708608#11#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 11. Digital Woodland",1,55
20317,variation,8708608#12#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 12. Pitón Verde",1,7
20318,variation,8708608#14#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 14. Real Tree",1,6
20319,variation,8708608#15#,"Mochila Tactica Camuflada 40 Litros Con Pouch - 15. Digital Tiger Woodland",1,7
20320,variable,8708609##,"Mochila Tactica Camuflada 40 Litros",1,
20321,variation,8708609#03#,"Mochila Tactica Camuflada 40 Litros - 03. Beige",1,4
20323,variation,8708609#05#,"Mochila Tactica Camuflada 40 Litros - 05. Digital Desert",1,14
20324,variation,8708609#07#,"Mochila Tactica Camuflada 40 Litros - 07. Acu",1,9
20326,variation,8708609#08#,"Mochila Tactica Camuflada 40 Litros - 08. Multicam",0,1
20328,variation,8708609#09#,"Mochila Tactica Camuflada 40 Litros - 09. Negro",1,17
20330,variation,8708609#11#,"Mochila Tactica Camuflada 40 Litros - 11. Digital Woodland",1,3
20332,variable,8708610##,"Mochila Táctica Camuflada 25 Litros Mediana 3d",1,
20333,variation,8708610#03#,"Mochila Táctica Camuflada 25 Litros Mediana 3d - 03. Beige",0,1
20334,variation,8708610#04#,"Mochila Táctica Camuflada 25 Litros Mediana 3d - 04. Woodland",0,1
20335,variation,8708610#05#,"Mochila Táctica Camuflada 25 Litros Mediana 3d - 05. Digital Desert",0,0
20337,variation,8708610#06#,"Mochila Táctica Camuflada 25 Litros Mediana 3d - 06. Verde",0,1
20339,variation,8708610#07#,"Mochila Táctica Camuflada 25 Litros Mediana 3d - 07. Acu",0,0
20341,variation,8708610#08#,"Mochila Táctica Camuflada 25 Litros Mediana 3d - 08. Multicam",1,49
20342,variation,8708610#09#,"Mochila Táctica Camuflada 25 Litros Mediana 3d - 09. Negro",1,74
20345,variation,8708610#10#,"Mochila Táctica Camuflada 25 Litros Mediana 3d - 10. Tri Desert",0,0
20347,variation,8708610#11#,"Mochila Táctica Camuflada 25 Litros Mediana 3d - 11. Digital Woodland",1,5
20349,variable,8708618##,"Mochila Camel Back 20 Litros Camuflada",1,
20350,variation,8708618#03#,"Mochila Camel Back 20 Litros Camuflada - 03. Beige",1,11
20351,variation,8708618#04#,"Mochila Camel Back 20 Litros Camuflada - 04. Woodland",0,2
20353,variation,8708618#05#,"Mochila Camel Back 20 Litros Camuflada - 05. Digital Desert",0,0
20354,variation,8708618#06#,"Mochila Camel Back 20 Litros Camuflada - 06. Verde",0,2
20355,variation,8708618#07#,"Mochila Camel Back 20 Litros Camuflada - 07. Acu",1,10
20356,variation,8708618#08#,"Mochila Camel Back 20 Litros Camuflada - 08. Multicam",1,12
20357,variation,8708618#09#,"Mochila Camel Back 20 Litros Camuflada - 09. Negro",1,33
20358,variation,8708618#11#,"Mochila Camel Back 20 Litros Camuflada - 11. Digital Woodland",1,15
20359,variation,8708618#10#,"Mochila Camel Back 20 Litros Camuflada - 10. Tri Desert",0,0
20360,variable,8708620##,"Mochila Swat Camuflada Táctica 20 Litros",1,
20361,variation,8708620#03#,"Mochila Swat Camuflada Táctica 20 Litros - 03. Beige",1,8
20363,variation,8708620#04#,"Mochila Swat Camuflada Táctica 20 Litros - 04. Woodland",1,13
20365,variation,8708620#05#,"Mochila Swat Camuflada Táctica 20 Litros - 05. Digital Desert",1,6
20367,variation,8708620#06#,"Mochila Swat Camuflada Táctica 20 Litros - 06. Verde",1,9
20369,variation,8708620#07#,"Mochila Swat Camuflada Táctica 20 Litros - 07. Acu",1,4
20371,variation,8708620#08#,"Mochila Swat Camuflada Táctica 20 Litros - 08. Multicam",1,9
20373,variation,8708620#09#,"Mochila Swat Camuflada Táctica 20 Litros - 09. Negro",1,3
20375,variation,8708620#10#,"Mochila Swat Camuflada Táctica 20 Litros - 10. Tri Desert",1,4
20377,variation,8708620#11#,"Mochila Swat Camuflada Táctica 20 Litros - 11. Digital Woodland",1,13
20383,variable,8708625##,"Mochila Bolso táctico Crazy Ants 30 litros",1,
20384,variation,8708625#03#,"Mochila Bolso táctico Crazy Ants 30 litros - 03. Beige",1,12
